cp7,concelho,distrito
7800-780,,
7830-000,,
7750-104,,
8005-073,,
8005-321,,
8700-283,,
8005-000,,
8000-136,,
8005-127,,
8000-000,,
8005-072,,
8005-298,,
8000-147,,
8005-308,,
8005-311,,
8005-124,,
8005-315,,
8600-000,,
8600-269,,
8600-265,,
8600-647,,
8100-659,,
8135-000,,
8100-000,,
8100-657,,
8125-463,,
8125-032,,
8100-645,,
8125-000,,
8125-810,,
8125-161,,
8125-155,,
8700-000,,
8700-045,,
8700-168,,
8700-229,,
8700-244,,
8365-000,,
8300-000,,
8800-436,,
8800-000,,
8800-465,,
8500-470,,
8500-517,,
8500-803,,
8500-000,,
8500-301,,
8500-447,,
8500-516,,
